# stage1_psx_texture_map_v1
# width	height	rgba_hash64	rel_path	score
44	44	B3200299C1D1ADB3	8a9f10d6_41279320_44_44_0.png	0.053637
44	44	CA26A64B4109FA37	38e2bb3d_92ba3895_44_44_0.png	0.061605
44	44	E45D126027D8B973	38e2bb3d_4bf31eba_44_44_0.png	0.069528
44	44	EDB9D12BC2ED4A9D	8a9f10d6_165b7685_44_44_0.png	0.067053
44	55	1BECBFBD345E9981	88d0ab82_d3970537_44_55_0.png	0.259470
44	55	9833D00525D63D60	73753e88_d3970537_44_55_0.png	0.306333
47	82	55C22417F765CD0D	2d2dddbe_c6a4e978_47_82_0.png	0.351376
48	17	0245B271BEDD1811	faabf534_25301e00_48_17_0.png	0.262203
48	17	10B53FC19DC0976B	faabf534_25301e00_48_17_0.png	0.350650
48	17	12E6B4860A5DABAD	faabf534_25301e00_48_17_0.png	0.300368
48	17	29896F4A6C714F19	d05fa5f8_706641a8_48_17_0.png	0.251097
48	17	30BDB318B36E9431	faabf534_25301e00_48_17_0.png	0.292187
48	17	3366ABF9B94D32D6	faabf534_25301e00_48_17_0.png	0.291241
48	17	56D56B11043AE173	d05fa5f8_706641a8_48_17_0.png	0.251645
48	17	582F6A69663680C6	faabf534_25301e00_48_17_0.png	0.372203
48	17	6CB9E5058C73798C	faabf534_25301e00_48_17_0.png	0.325953
48	17	A41B6C5600E96B4D	faabf534_25301e00_48_17_0.png	0.286422
48	17	A4AE606529ED58FC	faabf534_25301e00_48_17_0.png	0.268673
48	17	AC5F14DEB5CADC90	faabf534_25301e00_48_17_0.png	0.268695
48	17	C7381C173438990F	faabf534_25301e00_48_17_0.png	0.341722
48	17	D0E3E5B5D943B1A0	faabf534_25301e00_48_17_0.png	0.292770
48	17	D58FED5092975F28	faabf534_25301e00_48_17_0.png	0.251400
48	17	F8A6604FE6E4F570	faabf534_25301e00_48_17_0.png	0.350732
48	20	022ADE9D2B4E8BD6	ada658dc_210d6998_48_20_0.png	0.236664
52	12	2A4A528C17452100	19e1b002_6caa94a1_52_12_0.png	0.281381
56	12	89D286E0958D229B	070fecf9_97ddde73_56_12_0.png	0.311213
60	71	20E7D359AA7EF88D	0a27e24f_454e82e9_60_71_0.png	0.046697
60	71	254B3A040DE4BCC6	2cdfc73d_454e82e9_60_71_0.png	0.039286
60	71	72E87B85EC46A034	2f48f4a0_454e82e9_60_71_0.png	0.039684
60	71	A89CA9214AD0E30E	d9a8165b_454e82e9_60_71_0.png	0.040570
60	71	C4A361FB94D58E96	8780c959_454e82e9_60_71_0.png	0.053811
60	71	D092B1ED3394EC8D	f73ce335_454e82e9_60_71_0.png	0.042068
60	71	E2A8CAC81AAE71DB	a0e1dcf6_454e82e9_60_71_0.png	0.051529
60	71	E440B9E60C3A23B9	53fd2625_454e82e9_60_71_0.png	0.042408
60	71	F732A09BBC4968FB	2f48f4a0_454e82e9_60_71_0.png	0.098572
60	103	A70505CCB1FE8E64	7199c224_00e0aa1f_60_103_0.png	0.037050
60	120	56ACECF493C70267	d9568587_e7e3250d_60_120_0.png	0.393775
60	120	BA4EF5CAB5CED2A9	d9568587_e7e3250d_60_120_0.png	0.046324
61	103	8C45858932EDDF22	de7dc28b_00e0aa1f_61_103_0.png	0.036786
63	23	09E5BB6CB84CCD32	ef161905_f62c3a9f_63_23_0.png	0.304571
63	23	87612F8FBEDB2E36	ef161905_f62c3a9f_63_23_0.png	0.254776
63	23	BE72D3C54E4AEA8D	ef161905_f62c3a9f_63_23_0.png	0.303692
63	23	CAFDA52D1F5C36AA	ef161905_f62c3a9f_63_23_0.png	0.301906
63	102	A34D315DEEFDC924	5c145c09_00e0aa1f_63_102_0.png	0.035879
64	35	42FA963F9075A5D4	8813e6c4_aaf80a05_64_35_0.png	0.095371
64	52	A92C00398C291C58	e42e63e5_dc6d7c57_64_52_0.png	0.354749
64	103	0E876AC06A0EA526	08afe5bf_00e0aa1f_64_103_0.png	0.018860
64	103	1CBE23E0137420F2	08afe5bf_00e0aa1f_64_103_0.png	0.114326
64	103	A915450A5C7C6654	08afe5bf_519862a3_64_103_0.png	0.016495
64	104	3AEEDCDA87E165B1	10520158_61f38312_64_104_0.png	0.010254
64	104	3EFB2822909C889D	10520158_61f38312_64_104_0.png	0.091480
66	94	306B34E9E469AC95	bc6ca647_636b3939_66_94_0.png	0.334945
66	94	81303F3D9179C219	bc6ca647_636b3939_66_94_0.png	0.342381
67	95	11B5C4D72F8349B1	5ea24997_568822b0_67_95_0.png	0.311801
67	95	F21DD30A8997880D	33a87470_14b32139_67_95_0.png	0.312013
68	63	C2D89D7C66B97D9C	8f4563a9_7abe17c8_68_63_0.png	0.345855
68	63	D9310B2754C23EB2	8f4563a9_7abe17c8_68_63_0.png	0.358955
68	72	BCE6AA2F4A288FFA	58681e30_556e29f3_68_72_0.png	0.077917
68	72	E9C1108D23BD04C4	58681e30_07c2e6c9_68_72_0.png	0.065371
68	96	5D33251E7346DFC8	253ef7cc_14b32139_68_96_0.png	0.086250
68	96	6C56D850536346F9	253ef7cc_14b32139_68_96_0.png	0.301749
68	96	AECF05C8DEF6084F	253ef7cc_14b32139_68_96_0.png	0.139926
68	96	E833D9ACBB2DCDBF	253ef7cc_14b32139_68_96_0.png	0.128634
68	96	EC56C39D11D7D4D8	253ef7cc_14b32139_68_96_0.png	0.150312
76	5	5A0A75FCD95F4689	9ab3bd81_689b6bf7_76_5_0.png	0.043020
76	31	08B4CFD55835D749	1668ecd9_6ac9503c_76_31_0.png	0.379295
76	34	D5D7FEEA3CB99A52	6e57fd59_5bce181a_76_34_0.png	0.198177
79	79	424A0A08C2A2BEB5	a7587a33_178e1f5d_79_79_0.png	0.337586
79	199	7ABA296E984274AA	0b878749_fbbced0d_79_199_0.png	0.164167
80	20	15E465F214E3ACBE	0583dfd7_b5f45c40_80_20_0.png	0.289491
80	20	419B5B1E93D0DF73	0583dfd7_b5f45c40_80_20_0.png	0.036768
80	20	5664B8D72DFB496A	0583dfd7_329be10a_80_20_0.png	0.178205
80	20	626FEC1A400EA1F8	0583dfd7_329be10a_80_20_0.png	0.041446
80	20	78A7904B106DB69E	0583dfd7_b5f45c40_80_20_0.png	0.281912
80	35	82A7C53A5B002F57	65b2df2d_aaf80a05_80_35_0.png	0.086213
80	44	258F6F4BD233D25A	9a723a9e_ef50b51f_80_44_0.png	0.068971
84	34	13079225EBA0D7F9	c57c8591_5bce181a_84_34_0.png	0.159418
84	34	D8A5284B2A76527F	c57c8591_5bce181a_84_34_0.png	0.306694
84	42	6120E28A1C10388B	c5c9f122_a314ba32_84_42_0.png	0.036682
84	42	D4A3D741427D0888	c5c9f122_711942f6_84_42_0.png	0.046771
84	42	E188172F86E2FC40	c5c9f122_a314ba32_84_42_0.png	0.032705
84	64	3D22B316896B7014	e8f424d3_9ad3ab65_84_64_0.png	0.045695
84	86	05CED47950A39F8A	d1846b77_e4f47ee3_84_86_0.png	0.039381
92	28	9E5E1D9653A99C1B	6fe1c801_5bce181a_92_28_0.png	0.093082
95	95	E93C4951AF6FBC17	ebee044c_4fffc085_95_95_0.png	0.081480
96	96	4D7636F5F73DCC57	deaf331b_e13e8dc0_96_96_0.png	0.112080
96	96	B53DA00E3A18A577	deaf331b_e13e8dc0_96_96_0.png	0.228395
96	96	E32EBD0111CE0F91	deaf331b_e13e8dc0_96_96_0.png	0.105637
96	134	0ED646726003C2C2	38b7b452_872ee166_96_134_0.png	0.048542
100	61	3F329D42C79EE358	32e2c7ad_0c6cbfcb_100_61_0.png	0.084311
100	61	6F76C93B1AEF5774	32e2c7ad_4f98344f_100_61_0.png	0.084329
100	100	5D92756C5F3B7AF1	20c626e0_4cdae35a_100_100_0.png	0.211275
100	100	79FB11CA40F52864	20c626e0_4cdae35a_100_100_0.png	0.052816
100	100	8CA991B37A88212D	19344a1a_5a35813f_100_100_0.png	0.048741
100	100	C50771DB474202C0	20c626e0_4cdae35a_100_100_0.png	0.218643
112	16	AFA49FADAED0D452	fecd3bf6_5bce181a_112_16_0.png	0.046526
120	20	1D7CEE152C25BB42	43ab4542_3304f7b0_120_20_0.png	0.038787
120	20	57B12D4040CFCA71	b30e248e_14dda82e_120_20_0.png	0.033073
120	20	8A7684DDA6BF247B	1d31d2fa_14dda82e_120_20_0.png	0.033244
120	20	9C0328D7471D392D	d6171f5a_2e50174a_120_20_0.png	0.032111
120	20	DC4CA41541CDDC97	0ded9657_e11295bc_120_20_0.png	0.033557
120	45	DF2797DAC5E6ABAB	2838d32a_1d69b915_120_45_0.png	0.017494
120	50	15D9C9A7702A0B51	2d0046c6_977b3437_120_50_0.png	0.451032
120	50	E3ACC1508D79A155	2d0046c6_977b3437_120_50_0.png	0.084822
127	127	EEFA919EF16CF12D	76b5adf1_6ffae52f_127_127_0.png	0.257763
127	155	29F0026AEAD29731	b577a082_f70f2cb7_127_155_0.png	0.143392
128	128	1EAEE93E3F3CFD2E	0340b979_f70f2cb7_128_128_0.png	0.027423
128	128	71FA98DA79D92F5F	68bc5540_f70f2cb7_128_128_0.png	0.024525
128	128	755EBA420E11048F	36899483_f70f2cb7_128_128_0.png	0.040689
128	156	287D32D1B73D88EE	23e1d321_5e6c8752_128_156_0.png	0.120622
128	156	5C88162FDF90EA19	23e1d321_5e6c8752_128_156_0.png	0.151893
128	156	FBB56A1EEE5D8095	23e1d321_5e6c8752_128_156_0.png	0.431985
132	60	B72550E77423F221	eef05e75_7b60547a_132_60_0.png	0.039314
136	54	103C12BB85D91360	667b22d4_fe6d3866_136_54_0.png	0.026642
136	54	1F320E1F7B63B80C	93009575_fe6d3866_136_54_0.png	0.025833
172	84	D324D8F804B6E161	8acd6b79_3a4736b6_172_84_0.png	0.048171
180	52	84E5F4CEDC89392D	f421f0cb_beb8056f_180_52_0.png	0.076400
188	21	D278D858DEF99323	2ec6be54_31a101dc_188_21_0.png	0.030748
192	40	B8FCC52DF71456F5	b36b1b39_77cc1578_192_40_0.png	0.027975
192	40	CC61EADB92CB9DCC	5cc6c764_1ffebd81_192_40_0.png	0.022512
192	40	FE3296AF0FF5EC63	5cc6c764_b26bee00_192_40_0.png	0.018719
192	185	0E447F88E9BB506C	61922389_04ff9389_192_185_0.png	0.051403
192	185	800A4B233BFFE941	61922389_04ff9389_192_185_0.png	0.017243
208	36	F5D8B89C42B80A87	d474c6e2_5bce181a_208_36_0.png	0.105702
